"MakeModel";"Alias";"ModelId"
Aero Design AC680S;Rockwell Commander 680S Pegasus VC;25
Aero Vodochody L-39;Aermacchi MB-339A Factory Livery;228
Aero Vodochody L-39;Aermacchi/Atlas MB-326K Impala MK.II FAB;228
Aero Vodochody L-39;"Aero L-39 Albatros ""Pipsqueak""";228
Aero Vodochody L-39;Aero L-39 Albatros Biele Albatrosy Long Range;228
Aero Vodochody L-39;Aero L-39 Albatros C-GOZA Private Long Range;228
Aero Vodochody L-39;Aero L-39 Albatros Czech Air Force SS;228
Aero Vodochody L-39;Aero L-39 Albatros N139CK - Clean;228
Aero Vodochody L-39;Aero L-39 Albatros N139CK SS;228
Aero Vodochody L-39;Aero L-39 Albatros Royal Thai Air Force;228
Aero Vodochody L-39;Aero L-39 Albatros Russian Air Force;228
Aero Vodochody L-39;Aero L-39 Albatros Russian Air Force SS;228
Aero Vodochody L-39;Aero L-39 Albatros Vjazma Aero Club Formation;228
Aero Vodochody L-39;Aero Vodochody L-39;228
Aero Vodochody L-39;Aero Vodochody L39 1 pilote;228
Aero Vodochody L-39;Aero Vodochody L39 ZKTCS;228
Aero Vodochody L-39;Asobo Aero L-39 Albatros American Patriot;228
Aero Vodochody L-39;Asobo Aero L-39 Albatros American Spirit;228
Aero Vodochody L-39;Asobo Aero L-39 Albatros Athena;228
Aero Vodochody L-39;Asobo Aero L-39 Albatros Blue Ice;228
Aero Vodochody L-39;Asobo Aero L-39 Albatros Drop Bear;228
Aero Vodochody L-39;Asobo Aero L-39 Albatros Red Thunder;228
Aero Vodochody L-39;Asobo Aero L-39 Albatros Reno;228
Aero Vodochody L-39;Asobo Aero L-39 Albatros Reno Livery 01;228
Aero Vodochody L-39;Asobo Aero L-39 Albatros Reno Livery 02;228
Aero Vodochody L-39;Asobo Aero L-39 Albatros Reno Livery 03;228
Aero Vodochody L-39;Asobo Aero L-39 Albatros Reno Livery 04;228
Aero Vodochody L-39;Asobo Aero L-39 Albatros Reno Livery 05;228
Aero Vodochody L-39;Asobo Aero L-39 Albatros Reno Livery 06;228
Aero Vodochody L-39;Asobo Aero L-39 Albatros Sarance;228
Aero Vodochody L-39;CT-114 Tutor GoldE;228
Aero Vodochody L-39;CT-114 Tutor RavenE;228
Aero Vodochody L-39;Dragonfly;228
Aero Vodochody L-39;FOUGA Magister AA011;228
Aero Vodochody L-39;FOUGA Magister Red Devils;228
Aero Vodochody L-39;L-159A-5;228
Aero Vodochody L-39;L-39 Biele LR;228
Aero Vodochody L-39;L-39 Breit 2008;228
Aero Vodochody L-39;L-39 Breit 2008 LR;228
Aero Vodochody L-39;L-39 Breit 2009 Form;228
Aero Vodochody L-39;L-39 Breit 2009 SS;228
Aero Vodochody L-39;L-39 Breitling No.5 mono;228
Aero Vodochody L-39;L-39 C-GOZA LR;228
Aero Vodochody L-39;L-39 C-GOZA LR RXP;228
Aero Vodochody L-39;L-39 Czech AF;228
Aero Vodochody L-39;L-39 Czech AF RXP;228
Aero Vodochody L-39;L-39 Czech AF SS;228
Aero Vodochody L-39;L-39 Czech CLV;228
Aero Vodochody L-39;L-39 Czech Namest;228
Aero Vodochody L-39;L-39 GAF 156;228
Aero Vodochody L-39;L-39 GAF 187;228
Aero Vodochody L-39;L-39 LTS1;228
Aero Vodochody L-39;L-39 LTS1 RXP;228
Aero Vodochody L-39;L-39 N139CK;228
Aero Vodochody L-39;L-39 N139CK SS;228
Aero Vodochody L-39;L-39 N223PG;228
Aero Vodochody L-39;L-39 N39ED;228
Aero Vodochody L-39;L-39 N39ED RXP;228
Aero Vodochody L-39;L-39 Pip;228
Aero Vodochody L-39;L-39 Pip RXP;228
Aero Vodochody L-39;L-39 Russ AF SS;228
Aero Vodochody L-39;L-39 Russian AF;228
Aero Vodochody L-39;L-39 Slovak AF LR;228
Aero Vodochody L-39;L-39 Thai AF;228
Aero Vodochody L-39;L-39 Vjazma Form;228
Aero Vodochody L-39;L-39 Vjazma Rus;228
Aero Vodochody L-39;L-39 Vjazma Rus RXP;228
Aero Vodochody L-39;L-39 ZA 146;228
Aero Vodochody L-39;L-39 ZA 313;228
Aero Vodochody L-39;L-39 ZA 354;228
Aero Vodochody L-39;L-39 ZA Putih;228
Aero Vodochody L-39;L-39C;228
Aero Vodochody L-39;L-39C CZAF 1MALE;228
Aero Vodochody L-39;L-39C Red Air 28;228
Aero Vodochody L-39;L-39C Red Air 8;228
Aero Vodochody L-39;L-39Cba;228
Aero Vodochody L-39;L-39Clit;228
Aero Vodochody L-39;L-39Cr;228
Aero Vodochody L-39;L39 albatros Aero-Dynamique;228
Aero Vodochody L-39;L39 albatros afghanistan 1;228
Aero Vodochody L-39;L39 albatros algerie 1;228
Aero Vodochody L-39;L39 albatros bangladesh 1;228
Aero Vodochody L-39;L39 albatros Biele Albatrosy 1;228
Aero Vodochody L-39;L39 albatros Blue Angels;228
Aero Vodochody L-39;L39 albatros east 1;228
Aero Vodochody L-39;L39 albatros ESTLC;228
